                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.63405,                0.58503,                 1.1578,                0.93021,                0.94444,                0.95815,                0.85304,                 0.4267,                0.38049,                   1.01,             0.00079238,             0.00079238,             0.00079238
                     48,                0.63554,                0.57916,                 1.1519,                0.91555,                0.94444,                0.95459,                0.83342,                0.48518,                0.41639,                 1.0255,             0.00077823,             0.00077823,             0.00077823
                     49,                0.62691,                0.56636,                 1.1441,                0.92904,                0.92361,                0.94725,                0.84832,                0.42993,                0.37916,                 1.0003,             0.00076409,             0.00076409,             0.00076409
                     50,                 0.6381,                  0.579,                 1.1607,                0.91441,                0.94867,                  0.956,                  0.855,                0.39218,                0.36056,                 1.0015,             0.00074994,             0.00074994,             0.00074994
                     51,                0.60791,                0.54836,                 1.1291,                0.91325,                0.94976,                0.94824,                0.85243,                0.36747,                 0.3596,                0.97032,             0.00073579,             0.00073579,             0.00073579
                     52,                0.59932,                0.54322,                 1.1209,                0.90232,                0.94684,                0.94522,                0.85258,                0.40226,                0.35606,                 1.0001,             0.00072164,             0.00072164,             0.00072164
                     53,                0.61314,                 0.5615,                 1.1393,                0.93254,                0.94444,                0.95626,                0.84238,                0.40408,                0.36947,                0.99009,              0.0007075,              0.0007075,              0.0007075
                     54,                0.61438,                 0.5618,                 1.1374,                0.90371,                0.95177,                0.95863,                0.85219,                0.42371,                 0.3683,                0.98885,             0.00069335,             0.00069335,             0.00069335
                     55,                0.59613,                0.54727,                 1.1251,                0.91848,                0.95833,                0.95404,                 0.8593,                0.40113,                0.36277,                0.98429,              0.0006792,              0.0006792,              0.0006792
                     56,                0.59247,                0.55325,                 1.1272,                0.90838,                0.94759,                0.95084,                0.86661,                0.34317,                0.33419,                0.96473,             0.00066506,             0.00066506,             0.00066506
                     57,                0.59284,                0.53512,                 1.1264,                0.91204,                 0.9375,                 0.9544,                0.86615,                0.39708,                0.35566,                0.98059,             0.00065091,             0.00065091,             0.00065091
                     58,                0.59884,                0.54174,                 1.1315,                0.91348,                0.95833,                0.95603,                0.87876,                0.35794,                0.34183,                 0.9602,             0.00063676,             0.00063676,             0.00063676
                     59,                0.58503,                0.53151,                 1.1112,                0.95978,                0.92361,                0.95102,                0.85562,                0.41008,                0.34305,                 0.9998,             0.00062262,             0.00062262,             0.00062262
                     60,                0.56804,                 0.5162,                 1.1015,                0.93181,                0.94444,                0.96266,                 0.8667,                0.40979,                0.35313,                0.98195,             0.00060847,             0.00060847,             0.00060847
                     61,                0.59178,                 0.5435,                 1.1229,                 0.9538,                0.94444,                0.96061,                0.87891,                0.35497,                0.33445,                0.98112,             0.00059432,             0.00059432,             0.00059432
                     62,                0.58424,                0.52413,                 1.1111,                0.91004,                0.94444,                0.94445,                0.87642,                0.33033,                0.33757,                0.95425,             0.00058017,             0.00058017,             0.00058017
                     63,                0.56394,                 0.5077,                 1.0982,                 0.9346,                0.95833,                0.96121,                0.87003,                0.37248,                0.32604,                 0.9745,             0.00056603,             0.00056603,             0.00056603
                     64,                0.59591,                0.53353,                 1.1291,                0.95331,                0.96491,                0.96784,                0.88144,                0.36254,                0.32906,                0.97419,             0.00055188,             0.00055188,             0.00055188
                     65,                0.55097,                0.50385,                  1.092,                0.95182,                0.91667,                0.95291,                0.86473,                0.39105,                0.34042,                0.98291,             0.00053773,             0.00053773,             0.00053773
                     66,                0.54794,                0.49716,                 1.0954,                0.92724,                0.95332,                0.96098,                0.87725,                0.35609,                0.32376,                0.95909,             0.00052359,             0.00052359,             0.00052359
                     67,                0.55403,                0.49925,                 1.0941,                0.96797,                 0.9375,                0.96855,                0.88496,                0.33824,                0.30744,                0.95909,             0.00050944,             0.00050944,             0.00050944
                     68,                0.54958,                0.50169,                  1.086,                 0.9412,                0.92361,                0.95461,                0.86015,                0.42553,                0.33837,                0.98067,             0.00049529,             0.00049529,             0.00049529
                     69,                0.54551,                0.50312,                 1.0928,                0.93976,                0.95139,                0.96244,                0.88752,                0.32357,                0.30014,                0.95313,             0.00048114,             0.00048114,             0.00048114
                     70,                0.51827,                  0.478,                 1.0683,                0.94601,                0.97222,                0.96414,                0.87244,                0.38675,                0.32158,                0.96325,               0.000467,               0.000467,               0.000467
                     71,                  0.556,                0.50901,                  1.099,                 0.9189,                0.95139,                0.95606,                0.86671,                0.38285,                0.32538,                0.97728,             0.00045285,             0.00045285,             0.00045285
                     72,                 0.5267,                0.48041,                 1.0681,                 0.9403,                0.96975,                 0.9638,                0.87966,                0.36536,                0.31612,                0.95771,              0.0004387,              0.0004387,              0.0004387
                     73,                0.54247,                0.50012,                 1.0968,                0.93072,                0.96528,                0.96555,                0.87753,                0.36877,                0.31553,                0.94961,             0.00042456,             0.00042456,             0.00042456
                     74,                0.51387,                0.47537,                 1.0682,                 0.9266,                0.97222,                0.96459,                0.88052,                0.37939,                0.30839,                0.96209,             0.00041041,             0.00041041,             0.00041041
                     75,                0.53074,                0.47486,                 1.0832,                0.95272,                0.94444,                0.96297,                0.87035,                 0.3656,                0.30484,                0.96451,             0.00039626,             0.00039626,             0.00039626
                     76,                 0.5384,                0.48476,                 1.0696,                0.97514,                0.95139,                0.97296,                0.88745,                0.33786,                0.30452,                0.95025,             0.00038211,             0.00038211,             0.00038211
                     77,                0.51559,                0.46695,                 1.0591,                0.95788,                0.95139,                0.96711,                0.89193,                0.35108,                0.31547,                0.95182,             0.00036797,             0.00036797,             0.00036797
                     78,                0.53809,                 0.4824,                 1.0803,                0.96414,                  0.951,                0.97084,                0.88852,                0.31437,                 0.2935,                0.93976,             0.00035382,             0.00035382,             0.00035382
                     79,                0.51218,                0.46684,                 1.0709,                0.94373,                0.96368,                0.96223,                0.88259,                0.37555,                0.30613,                0.95855,             0.00033967,             0.00033967,             0.00033967
                     80,                0.51436,                0.46121,                 1.0716,                0.94828,                0.95833,                0.96208,                0.89085,                0.31145,                0.29352,                0.93981,             0.00032553,             0.00032553,             0.00032553
                     81,                0.50579,                0.46605,                 1.0575,                0.96229,                0.95833,                0.96417,                0.89032,                0.34718,                0.29096,                0.94638,             0.00031138,             0.00031138,             0.00031138
                     82,                 0.5175,                0.47609,                 1.0744,                0.94713,                0.94752,                0.96737,                0.88621,                0.36454,                0.29867,                0.95327,             0.00029723,             0.00029723,             0.00029723
                     83,                 0.5025,                0.45994,                 1.0601,                 0.9646,                0.97222,                0.97405,                 0.9034,                0.31021,                0.27541,                0.93481,             0.00028308,             0.00028308,             0.00028308
                     84,                0.51233,                0.47118,                 1.0607,                0.96675,                0.95514,                0.97008,                0.88698,                0.36159,                0.28892,                0.95485,             0.00026894,             0.00026894,             0.00026894
                     85,                0.48355,                0.44002,                 1.0508,                0.95322,                0.94444,                0.97045,                0.89417,                0.32788,                0.28818,                0.94499,             0.00025479,             0.00025479,             0.00025479
                     86,                0.51694,                0.47778,                 1.0695,                0.97193,                0.96168,                 0.9715,                0.89747,                0.33103,                0.27915,                0.93683,             0.00024064,             0.00024064,             0.00024064
                     87,                0.51172,                  0.472,                 1.0658,                0.95426,                 0.9644,                0.96862,                0.89774,                 0.3222,                0.28264,                0.94535,              0.0002265,              0.0002265,              0.0002265
                     88,                0.49404,                0.45615,                 1.0561,                0.95706,                0.95833,                0.97155,                0.89818,                0.31835,                0.27857,                0.93172,             0.00021235,             0.00021235,             0.00021235
                     89,                 0.5013,                0.46476,                 1.0598,                0.96527,                0.97103,                0.97489,                0.89917,                0.32785,                0.27697,                0.93579,              0.0001982,              0.0001982,              0.0001982
                     90,                0.47921,                0.44597,                  1.053,                0.95339,                0.96536,                0.97419,                0.90287,                0.30885,                0.27149,                0.93228,             0.00018406,             0.00018406,             0.00018406
                     91,                0.46471,                0.42343,                 1.0135,                 0.9652,                0.96383,                0.97616,                0.89511,                0.33776,                0.29662,                0.93929,             0.00016991,             0.00016991,             0.00016991
                     92,                0.42016,                0.35125,                0.98279,                0.95827,                0.96528,                 0.9736,                0.89923,                0.31611,                0.27505,                0.92824,             0.00015576,             0.00015576,             0.00015576
                     93,                0.40867,                0.34313,                0.97853,                0.96699,                0.95139,                0.97005,                0.90622,                0.31578,                0.27277,                0.92037,             0.00014161,             0.00014161,             0.00014161
                     94,                0.39575,                 0.3295,                0.97528,                0.95767,                0.97222,                0.97313,                 0.9065,                0.31187,                0.27278,                0.92074,             0.00012747,             0.00012747,             0.00012747
                     95,                0.38796,                0.31644,                0.97003,                0.98671,                0.95139,                 0.9759,                0.91388,                0.30702,                0.26014,                0.91683,             0.00011332,             0.00011332,             0.00011332
                     96,                0.39035,                0.32567,                0.96168,                0.96549,                0.96632,                0.97327,                0.91296,                0.28886,                0.26231,                0.91802,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.38694,                0.32138,                0.97401,                0.97031,                0.96299,                0.97378,                0.91128,                0.29761,                0.25603,                0.92328,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.38549,                0.31534,                0.97124,                0.98691,                0.95139,                0.97332,                0.90313,                0.33612,                0.27019,                 0.9231,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.37874,                0.31225,                0.96219,                0.95924,                0.97222,                 0.9736,                0.90744,                 0.3116,                0.26017,                0.91938,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.37292,                0.30795,                0.95745,                0.95479,                0.96528,                0.97245,                0.90943,                0.31429,                0.25922,                0.92202,             4.2584e-05,             4.2584e-05,             4.2584e-05
